Product Title,Product Image,Pack Size,Price,Price Per Unit
Berg Brazilian Style Sausages 300g,https://www.aldi.com.au/fileadmin/_processed_/a/4/csm_W09_SUPER_SAVERS_MEAT_1x1__2e071d5b0e.jpg,300g,$3.69,$12.30 per kg
Huon Fresh Tasmanian Ocean Trout Skin On 460g,https://www.aldi.com.au/fileadmin/_processed_/7/a/csm_W09_SUPER_SAVERS_MEAT_1x1_2_31cce09c38.jpg,460g,$11.99,$26.07 per kg
Ingham’s Chicken and Corn Schnitzel 1kg,https://www.aldi.com.au/fileadmin/_processed_/f/2/csm_W09_SUPER_SAVERS_MEAT_1x1_3_e60a26ef24.jpg,1kg,$8.99,$8.99 per kg
KRC Pork Cordon Bleu 480g,https://www.aldi.com.au/fileadmin/_processed_/0/2/csm_W09_SUPER_SAVERS_MEAT_1x1_4_b1c3099204.jpg,480g,$8.99,$18.73 per kg
"Ready, Set…Cook! Beef & Cheese Meatballs 420g",https://www.aldi.com.au/fileadmin/_processed_/b/e/csm_W09_SUPER_SAVERS_MEAT_1x1_5_4f11e0965c.jpg,420g,$4.99,$11.98 per kg
Killarnee Lamb Rack per kg,https://www.aldi.com.au/fileadmin/_processed_/1/2/csm_ALN3197_FEB_SSV_1x1_228x128_3_da46821e07.jpg,kg,$19.99,$19.99 per kg
World Kitchen Pizza 510g,https://www.aldi.com.au/fileadmin/_processed_/3/2/csm_ALN3197_FEB_SSV_1x1_228x128_23_a22ed05b95.jpg,510g,$599,78c per 100g
Berg Deli Ham Off the Bone Shaved 150g,https://www.aldi.com.au/fileadmin/_processed_/a/b/csm_ALN3197_FEB_SSV_1x1_228x128_6_d56289ba49.jpg,150g,$3.49,$23.27 per kg
Berg Deli Ham Off the Bone 175g,https://www.aldi.com.au/fileadmin/_processed_/6/c/csm_ALN3197_FEB_SSV_1x1_228x128_5_56dda2a3e8.jpg,175g,$3.49,$19.94 per kg
Berg Sliced Mild Hungarian Salami 4 x 80g,https://www.aldi.com.au/fileadmin/_processed_/0/6/csm_ALN3197_FEB_SSV_1x1_228x128_7_c98330d21d.jpg,80g,5099,$15.59 per kg
Monarc Indulge Gourmet Ice Cream 1L,https://www.aldi.com.au/fileadmin/_processed_/4/2/csm_ALN3197_FEB_SSV_1x1_228x128_8_ddeae8990a.jpg,1L,c99,40c per 100ml
Urban Eats Turkish Gozleme 300g,https://www.aldi.com.au/fileadmin/_processed_/0/9/csm_ALN3197_FEB_SSV_1x1_228x128_9_0e68ee0b8b.jpg,300g,$3.99,$1.33 per 100g
